Signal_Strength,Distance,Channel_Frequency,Jamming_Likelihood
-62.545988115263754,193.08400104868227,5GHz,0
-4.928569359008378,173.1269271533876,5GHz,0
-26.800605818859495,96.31541712640143,5GHz,0
-40.13415158029634,307.5606683497291,2.4GHz,0
-84.39813595575635,243.54583864922816,2.4GHz,1
-84.40054796637973,434.1934862387618,2.4GHz,1
-94.19163878318005,25.733694436208545,5GHz,0
-13.382385422506488,325.4952845020119,2.4GHz,0
-39.88849882567912,383.84495047066497,5GHz,0
-29.192742220395445,382.14841890227046,2.4GHz,0
-97.94155057041975,444.1762438768073,2.4GHz,1
-3.0090147838005663,367.22653398645207,2.4GHz,0
-16.75573591995783,464.6269302073712,2.4GHz,0
-78.76608893217238,173.00173391223683,5GHz,0
-81.81750327928994,256.57261420825614,2.4GHz,1
-81.65954901465662,16.89903500861643,2.4GHz,0
-69.57577570404624,13.409217778612694,5GHz,0
-47.524356836776214,127.66204402124474,5GHz,0
-56.805498135788426,59.395526598151775,2.4GHz,0
-70.8770859801958,137.50357028851926,2.4GHz,0
-38.81471052776205,96.75121431891472,5GHz,0
-86.05061393479582,23.97481217093764,5GHz,0
-70.78553514647818,455.5590317389642,2.4GHz,1
-63.36381567063083,14.029334380556847,5GHz,0
-54.393001578296406,370.68025072517185,5GHz,1
-21.48240386069864,84.5524645905631,2.4GHz,0
-80.03262178416402,456.992514779804,2.4GHz,1
-48.57655615863884,447.47001039904404,2.4GHz,0
-40.75854311379575,330.4115617209361,5GHz,0
-95.35495872800023,339.39473340229654,2.4GHz,1
-39.24551480985616,12.616179565147387,2.4GHz,0
-82.94758763127085,492.58706739566503,2.4GHz,1
-93.49484070147204,440.13797575214903,5GHz,1
-5.111446274666676,448.60205060774507,2.4GHz,0
-3.436796692544064,333.02982315492727,2.4GHz,0
-19.16026518835389,178.9455950407229,5GHz,0
-69.53862308266292,447.8878380543356,5GHz,1
-90.23278859936161,152.84329479408424,2.4GHz,0
-31.576697348784307,285.7286562376794,2.4GHz,0
-55.98475062603987,58.868176448502375,2.4GHz,0
-87.79617651552212,461.7582587650476,5GHz,1
-50.48230898887298,78.97752430789453,2.4GHz,0
-96.56114788847816,120.19943480789956,2.4GHz,0
-9.067959792121798,283.48573748282536,5GHz,0
-74.1220018399983,384.40557010436095,5GHz,1
-33.747771564601805,313.4821399087865,2.4GHz,0
-68.8288923910589,123.74561727207652,5GHz,0
-47.99319788221892,10.462090838470264,2.4GHz,0
-45.32897206567203,381.0037843506452,2.4GHz,0
-81.5145544474473,492.75158969643593,5GHz,1
-3.0415372235441396,406.8574289499843,5GHz,0
-22.48671766388854,235.50124289674153,5GHz,0
-6.050105843581093,452.84595808556224,5GHz,0
-10.517264957235113,210.82535982799152,2.4GHz,0
-40.21000211889149,267.2177012792991,5GHz,0
-7.812576497688312,243.79358602388479,5GHz,0
-91.15074979480805,229.33569760610723,2.4GHz,1
-80.40171375808548,389.8434769540138,2.4GHz,1
-95.4772711089462,268.11676456205106,2.4GHz,1
-67.46696692367357,165.19138979235586,5GHz,0
-61.1322710310518,136.49750215265436,2.4GHz,0
-72.86509682261041,28.49618531404236,5GHz,0
-17.12624908480707,295.7656293226925,5GHz,0
-64.32466733064106,122.68109354650676,5GHz,0
-71.90654903126193,82.58562178802771,5GHz,0
-45.73039168417515,330.3766822755621,2.4GHz,0
-85.90757750252374,343.79253633255894,2.4GHz,1
-19.78030192459603,378.5558972062563,2.4GHz,0
-92.54493563202291,256.7526792059098,2.4GHz,1
-1.311306339948274,448.0867565499044,2.4GHz,0
-22.77552307033426,468.8079491651316,5GHz,0
-80.12843184658276,405.6117604983198,5GHz,1
-99.44778828763975,321.44080618401176,5GHz,1
-18.453857154516584,158.82326725968244,5GHz,0
-29.314265615238284,491.6430115939084,2.4GHz,0
-27.099283195901265,144.3267219240498,5GHz,0
-22.872965331405425,109.30189177531122,5GHz,0
-92.59553482659096,226.65551575542554,5GHz,1
-64.15342714557275,37.85187964907034,5GHz,0
-88.41309404748702,489.4622876891775,5GHz,1
-13.689657412440653,298.3324426440482,5GHz,0
-37.670187317244206,282.90652491544586,2.4GHz,0
-66.91019751473507,331.34017715086276,2.4GHz,1
-93.64416497139763,253.54158741083126,5GHz,1
-68.90176782843378,25.711123376325375,5GHz,0
-67.48166779732529,310.0325315317944,5GHz,1
-27.03938216619359,360.925199708651,5GHz,0
-36.24425286447869,214.20703970578603,5GHz,0
-11.278725742367342,381.07483031488454,2.4GHz,0
-52.77850748380507,121.2306366758261,2.4GHz,0
-88.04057540616984,118.42552962243018,5GHz,0
-28.675521277700497,89.09432396691123,2.4GHz,0
-23.921495138310263,192.2774322966893,5GHz,0
-43.872280243050376,425.03589734065093,5GHz,0
-22.903282004543897,415.6769104530415,2.4GHz,0
-50.620440363560924,197.58386190211687,2.4GHz,0
-47.72671706180059,298.66818063031593,2.4GHz,0
-57.24589816414504,363.19999507270865,2.4GHz,1
-97.45808732559048,128.19131956773126,5GHz,0
-89.21085730066956,92.38913208842607,2.4GHz,0
-96.85708143132658,486.3270366740324,2.4GHz,1
-36.35895887362196,312.6030834727131,2.4GHz,0
-68.56440189236733,490.8937036984953,5GHz,1
-49.14293088352972,175.50043369479226,5GHz,0
-9.243352607390705,354.48553298732446,5GHz,0
-75.07077708511251,119.07578190520648,2.4GHz,0
-58.961707696437024,137.98808392421734,2.4GHz,0
-24.444886145695136,260.8320394221157,2.4GHz,0
-77.12018345083776,166.6128814989549,5GHz,0
-92.3020090171207,92.13456628188639,2.4GHz,0
-71.0248547086232,138.81154397476973,2.4GHz,0
-83.87787127459956,27.516713288273674,5GHz,0
-7.030234765742691,355.1675745239684,2.4GHz,0
-19.1879620435583,251.1371619720722,2.4GHz,0
-36.65962434895766,56.179102538217556,2.4GHz,0
-12.853940981228234,94.13005663296069,2.4GHz,0
-19.632792310088547,60.241923675195565,5GHz,0
-81.34299411139642,310.17047605517945,5GHz,1
-10.744100151002229,56.16307817012196,5GHz,0
-46.06577580843493,379.59834318725586,2.4GHz,0
-19.25598448359375,20.050350466991674,2.4GHz,0
-10.390870007650676,132.1941361179871,5GHz,0
-68.19965250281362,446.4266711870345,2.4GHz,1
-88.99480754723233,362.08034587990056,5GHz,1
-77.20648374580583,45.75448313358698,5GHz,0
-57.28922113737437,412.35179119773807,2.4GHz,1
-18.198523407750685,251.58720955470034,5GHz,0
-13.92694167436565,424.9236833127263,5GHz,0
-99.30478694688092,304.3624894806928,5GHz,1
-48.92526974224343,344.09818569610076,5GHz,0
-58.2588996851221,496.815764593897,5GHz,1
-77.78921895292697,123.8444175027689,5GHz,0
-88.01346326663172,315.7333316330803,2.4GHz,1
-66.2384828596372,235.5574811281252,5GHz,1
-5.709029608748082,29.331456932118805,5GHz,0
-67.67970679792447,17.090614336403867,2.4GHz,0
-48.12093782566339,68.42200313075075,2.4GHz,0
-29.69810411048222,328.05495286388856,5GHz,0
-63.6370397620706,287.9099130775622,2.4GHz,1
-2.8217917279039284,281.1804849702264,2.4GHz,0
-3.7552705057888716,25.60981363884744,5GHz,0
-74.82177041746358,239.95846821640345,2.4GHz,1
-50.27514941076146,463.065180742839,5GHz,1
-69.91216901832303,204.82001596221684,5GHz,1
-71.51595056225324,316.2120101963436,5GHz,1
-96.31130526454672,392.1111510553403,5GHz,1
-39.043566602010316,394.12338677952494,2.4GHz,0
-49.73209767711385,264.447240373683,5GHz,0
-94.85212487500107,430.3964532471448,2.4GHz,1
-72.13535357633886,201.77526574823602,2.4GHz,1
-9.173411403334626,445.4596752445512,5GHz,0
-76.04381093330275,127.7113115338172,5GHz,0
-85.5105127908777,147.30603942537982,2.4GHz,0
-51.0547239722437,36.02910585751054,5GHz,0
-1.4349545889399309,399.8350999057186,5GHz,0
-75.79447284884996,214.35706575402574,5GHz,1
-32.78644525941215,122.26714081658552,2.4GHz,0
-23.838038467128243,123.57723603212403,2.4GHz,0
-76.23624560076003,451.68597120232425,2.4GHz,1
-27.178365138814044,418.61913422590806,2.4GHz,0
-63.22168672807468,281.23013382501983,5GHz,1
-36.76941694064205,311.89429220370334,5GHz,0
-36.64702892391053,242.4195295696426,2.4GHz,0
-46.42253159252415,201.91660601061633,2.4GHz,0
-90.97102299455918,458.5836717969824,2.4GHz,1
-16.4697504410762,71.55022472494801,2.4GHz,0
-67.92199350282641,215.0389269609517,2.4GHz,1
-81.34814896001458,178.8353349140589,5GHz,0
-95.9224858445236,254.0938529230627,2.4GHz,1
-40.91070568117582,234.23961852713578,2.4GHz,0
-32.243563815771765,264.25587050902993,5GHz,0
-98.34121710721439,78.56029884122711,5GHz,0
-48.7906941700719,261.4393357415058,5GHz,0
-77.3504224802062,128.78521880473335,2.4GHz,0
-35.482720959055015,100.32236100421372,5GHz,0
-82.56335709950085,41.7687672052337,2.4GHz,0
-30.90622618975341,383.699753790509,2.4GHz,0
-61.32646536994626,219.4465412197144,5GHz,1
-6.32700112632655,317.0554048227616,2.4GHz,0
-86.24790558540067,366.52073821932424,2.4GHz,1
-65.89336489497416,342.8651660036412,5GHz,1
-88.65264787594108,240.5453523539443,5GHz,1
-7.530638172143725,200.07027918634762,5GHz,0
-12.266064661901893,194.22035572392522,5GHz,0
-74.20583722848444,323.6239104957276,5GHz,1
-34.00159539658209,252.44923392151796,5GHz,0
-18.277779979878417,426.0748015143702,5GHz,0
-44.47991884005377,438.60397232008893,5GHz,0
-47.034942164399354,93.57458522319405,5GHz,0
-75.81477090995483,76.75448925740557,5GHz,0
-90.68972321941008,318.89645375763973,2.4GHz,1
-10.278424204667331,157.60061655051692,2.4GHz,0
-9.958194283666955,19.09965219489844,2.4GHz,0
-36.68985427267321,445.434907987848,5GHz,0
